game_id,team1_id,tore_heim,tore_aus,team2_id,liga,datetime,tor_diff,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
8504,49,1,1,44,bundesliga,1991-08-31,0,'5480','3612','1147','2012','979','3595','4510','2356','3570','5447','1508','2161','2154','1390','1628','3187','5107','1426','733','4351','3678','4665'
8505,29,2,2,36,bundesliga,1991-08-31,0,'388','4699','5455','1100','5037','2549','5120','852','228','126','2392','2217','1821','4252','2981','2124','1880','2212','586','1285','3959','157'
8506,34,1,1,33,bundesliga,1991-08-31,0,'4308','469','1788','2019','5221','192','5339','731','341','1222','462','12','5548','3813','237','1804','3363','3151','810','5288','5355','2692'
8507,10,3,1,49,bundesliga,1991-09-06,2,'2067','4853','432','1684','1248','4066','4432','3778','5399','5446','91','5480','4679','37','1147','2012','3595','1466','4510','2356','5447','1508'
8508,39,6,1,34,bundesliga,1991-09-06,5,'1577','1891','3774','862','1358','4999','3461','2148','4098','4696','2840','4308','1788','2019','5221','192','3031','2590','5339','731','341','5238'
8509,33,2,1,28,bundesliga,1991-09-07,1,'12','5548','1587','3813','237','1804','3363','3151','810','5288','908','4740','130','4327','3487','5124','3769','5101','1669','842','3908','4022'
8510,36,1,1,27,bundesliga,1991-09-07,0,'2217','1821','4243','4252','2981','598','2124','2212','586','1285','157','2','828','4840','4270','3975','1437','2063','1406','849','2516','1783'
8511,53,1,0,4,bundesliga,1991-09-07,1,'3883','4881','77','2913','688','2526','1917','3327','2281','5084','3250','4089','3373','2877','3934','3816','3588','4257','5360','402','1033','2378'
8512,44,1,0,25,bundesliga,1991-09-07,1,'2161','2154','1390','70','1628','3483','1426','733','4351','3678','4665','2087','4799','235','5425','662','397','1112','1136','1867','4521','4674'
8513,42,1,1,54,bundesliga,1991-09-07,0,'5029','5181','2924','3568','1170','5279','4568','2039','2758','4008','4358','1275','2796','2936','1754','149','1573','3771','4443','2090','2133','5321'
8514,2,4,1,23,bundesliga,1991-09-07,3,'3928','3687','3293','5429','4652','2536','3634','3973','3310','572','2812','4733','5111','4458','2693','5517','5208','2642','3291','3158','1143','2165'
8515,50,1,2,35,bundesliga,1991-09-07,-1,'2389','346','2344','4323','2640','5219','99','629','465','1214','4296','1038','4281','4118','197','1429','2294','4004','2900','5065','2953','2621'
8516,9,2,0,29,bundesliga,1991-09-08,2,'3121','1884','1440','3900','640','2677','5286','998','4371','906','3936','4191','4699','5455','1100','5037','2549','5120','852','228','126','2392'
8517,23,3,1,53,bundesliga,1991-09-13,2,'4733','5466','5111','2693','5517','5208','2642','3291','3158','2165','4626','3883','4881','77','2913','688','2526','1917','2281','1288','5084','3250'
8518,27,1,1,9,bundesliga,1991-09-13,0,'2','828','2118','4840','4270','1437','2063','1406','399','2516','1783','3121','1884','1440','3900','1571','640','2677','5286','998','906','3936'
8519,29,1,2,33,bundesliga,1991-09-13,-1,'388','4699','5455','1100','2549','5120','2009','852','228','126','2392','12','5548','1587','3813','237','1804','3363','3151','810','5288','908'
8520,4,3,0,50,bundesliga,1991-09-14,3,'4089','3373','2877','3934','4369','3588','4257','5360','402','1033','2378','2389','346','2344','4323','2640','99','2468','629','465','2986','1214'
8521,54,1,0,44,bundesliga,1991-09-14,1,'1275','2796','2936','1754','149','1573','3771','4443','2090','2133','5321','2161','2154','1390','70','2465','1628','3483','1426','733','3678','4138'
8522,25,4,0,10,bundesliga,1991-09-14,4,'2087','4799','5425','662','1112','1867','2126','4521','8','4674','260','2067','3125','4853','432','1248','4066','4432','3916','3778','5446','91'
8523,49,1,1,2,bundesliga,1991-09-14,0,'5480','4679','3612','1147','2012','3595','4510','2356','5447','1493','1508','3928','3687','3293','5429','4652','2536','3634','2970','3310','4212','2812'
8524,35,0,0,36,bundesliga,1991-09-14,0,'5117','4281','4118','197','3092','2294','4004','2900','5065','2567','2621','2217','1821','4243','4252','2981','598','2124','2212','586','1285','157'
8525,34,2,1,28,bundesliga,1991-09-14,1,'4308','469','1788','2019','5221','3031','2590','731','341','462','5238','4740','130','4327','3487','5124','3769','5101','1669','842','3908','4022'
8526,39,2,2,42,bundesliga,1991-09-15,0,'1577','1891','3774','862','1358','4999','3461','2148','4098','4696','2840','5029','5181','857','2924','3568','1170','2039','2758','4008','4358','2827'
8527,33,1,5,27,bundesliga,1991-09-20,-4,'12','5548','1587','3813','237','1804','3363','3151','5288','908','2692','2','828','4840','4270','1437','4213','3804','2063','1406','849','1783'
8528,53,2,2,49,bundesliga,1991-09-20,0,'3883','975','77','2913','688','2526','1917','2281','1288','4491','3250','5480','4679','37','1147','2012','979','4510','2949','2356','5447','4227'
8529,50,1,2,23,bundesliga,1991-09-20,-1,'2389','346','1892','2344','4323','2468','3762','5070','465','1214','4296','4733','5466','5111','723','2693','5517','5208','2642','3291','3158','1736'
8530,28,1,0,29,bundesliga,1991-09-21,1,'4740','130','4327','3487','934','5124','3769','5101','4949','3908','4022','388','4699','5455','1100','2549','5242','2009','852','2326','228','2392'
8531,10,2,2,54,bundesliga,1991-09-21,0,'2067','2739','4853','432','1248','4066','4432','3916','3778','5446','91','1275','2796','2936','1754','149','1573','3771','4443','2090','2133','4698'
